rank,ticker,name,close_price,fair_value,upside_pct,star_rating,moat,uncertainty,sector,industry
83,CHWY,Chewy Inc,20.32,32,57.5,,Narrow,,Consumer Cyclical,Internet Retail
84,ORCL,Oracle Corp,131.54,207,57.4,,Narrow,,Technology,Software - Infrastructure
85,EPAM,EPAM Systems Inc,86.38,136,57.4,,None,,Technology,Information Technology Services
86,SONY,Sony Group Corp ADR,20.68,32.5,57.2,,Wide,,Technology,Consumer Electronics
87,INTU,Intuit Inc,289.76,455,57.0,,Narrow,,Technology,Software - Application
88,MBUU,Malibu Boats Inc Class A,26.77,42,56.9,,None,,Consumer Cyclical,Recreational Vehicles
89,MOS,The Mosaic Co,22.31,35,56.9,,None,,Basic Materials,Agricultural Inputs
90,GWRE,Guidewire Software Inc,140.31,220,56.8,,Wide,,Technology,Software - Application
91,CPRT,Copart Inc,27.45,43,56.7,,Wide,,Industrials,Specialty Business Services
92,WIX,Wix.com Ltd,52.41,82,56.5,,None,,Technology,Software - Infrastructure
93,GPI,Group 1 Automotive Inc,295.66,461,55.9,,Narrow,,Consumer Cyclical,Auto & Truck Dealerships
94,GIS,General Mills Inc,36.6,57,55.7,,Narrow,,Consumer Defensive,Packaged Foods
95,FMS,Fresenius Medical Care AG ADR,24.45,38,55.4,,Narrow,,Healthcare,Medical Care Facilities
96,TRI,Thomson Reuters Corp,94.29,146,54.8,,Narrow,,Industrials,Specialty Business Services
97,BCE,BCE Inc,21.45,33,53.8,,Narrow,,Communication Services,Telecom Services
98,MSFT,Microsoft Corp,390.99,600,53.5,,Wide,,Technology,Software - Infrastructure
99,RCI,Rogers Communications Inc Shs -B- Non-Voting,33.38,51,52.8,,Narrow,,Communication Services,Telecom Services
100,NTES,NetEase Inc ADR,131.43,200,52.2,,Narrow,,Communication Services,Electronic Gaming & Multimedia
101,BMRN,BioMarin Pharmaceutical Inc,59.2,90,52.0,,Narrow,,Healthcare,Biotechnology
102,INGR,Ingredion Inc,99.34,150,51.0,,Narrow,,Consumer Defensive,Packaged Foods
103,SARO,StandardAero Inc,27.55,41.5,50.6,,Narrow,,Industrials,Aerospace & Defense
104,SNAP,Snap Inc Class A,4.66,7,50.2,,None,,Communication Services,Internet Content & Information
105,PHG,Koninklijke Philips NV ADR,27.34,41,50.0,,Wide,,Healthcare,Medical Devices
106,WLK,Westlake Corp,76.07,114,49.9,,None,,Basic Materials,Specialty Chemicals
107,LEN,Lennar Corp Class A,82.84,124,49.7,,None,,Consumer Cyclical,Residential Construction
108,CHKP,Check Point Software Technologies Ltd,134.32,201,49.6,,Narrow,,Technology,Software - Infrastructure
